Thread Frame #,Time spent in reading the frame from local camera (seconds),Time spent performing inference on the frame (seconds)
1,0.014359400000003575,0.09278210000000087
2,0.015618000000003462,0.07219539999999824
3,0.012804300000006208,0.05964039999999926
4,0.01248950000000093,0.05375619999999515
5,0.01212799999999703,0.05743260000000561
6,0.018133499999997582,0.04102629999999863
7,0.011968600000002994,0.05319169999999929
8,0.013055000000001371,0.05142709999999795
9,0.011103800000000774,0.04937350000000151
10,0.011716499999998575,0.045572399999997515
11,0.010223599999996225,0.04608869999999854
12,0.011368699999998455,0.04330829999999963
13,0.012340200000004131,0.048618599999997514
14,0.011187099999993677,0.044417000000002815
15,0.014805000000002622,0.04354860000000116
16,0.013244300000003761,0.041554800000000114
17,0.009627699999995798,0.04313919999999882
18,0.009748500000000604,0.04421150000000296
19,0.010327400000001319,0.03864949999999823
20,0.019502699999996764,0.07604100000000358
21,0.023466800000001342,0.047861199999999826
22,0.01189870000000326,0.04315530000000223
23,0.01056050000000397,0.044587900000003344
24,0.011923100000004183,0.04639099999999985
25,0.010288899999999046,0.041921599999994896
26,0.010430100000000664,0.05276079999999439
27,0.011443599999999776,0.04449310000000395
28,0.04106399999999866,0.07480839999999489
29,0.013763900000000717,0.043080799999998476
30,0.011188300000000595,0.04424540000000121
31,0.01047420000000443,0.042748899999999423
32,0.010975800000004199,0.04186880000000315
33,0.01091780000000142,0.04075170000000128
34,0.011501799999997786,0.04005620000000221
35,0.011911800000000028,0.04531159999999801
36,0.013179199999996172,0.042339800000000594
37,0.012046599999997909,0.04244579999999587
38,0.01113420000000076,0.049656600000005824
39,0.01102600000000109,0.07362249999999904
40,0.01550210000000618,0.04607949999999761
41,0.013539600000001428,0.04415989999999681
42,0.011276000000002284,0.040420199999999795
43,0.010735400000001505,0.04053190000000484
44,0.01124820000000426,0.04247840000000025
45,0.011129500000002679,0.04294590000000653
46,0.010544799999998133,0.05630270000000337
47,0.012466700000004494,0.04626660000000271
48,0.013464800000001276,0.04779509999999476
49,0.013630999999996618,0.04681539999999984
50,0.013201600000002145,0.04547440000000336
51,0.011794300000005364,0.04777620000000127
52,0.01488549999999833,0.0481666999999959
53,0.013227500000006387,0.04645610000000033
54,0.01277499999999776,0.046861599999999726
55,0.01311940000000078,0.04373010000000477
56,0.010932300000000339,0.04389650000000245
57,0.010636400000002766,0.04493139999999585
58,0.011140300000000991,0.044175600000002646
59,0.010284999999996103,0.04152739999999966
60,0.011357300000000237,0.042720799999997894
61,0.011123299999994174,0.04058830000000313
62,0.011451300000004494,0.04182790000000125
63,0.011963900000004912,0.04393739999999724
64,0.011855999999994538,0.04415469999999999
65,0.011334099999999125,0.042383200000003285
66,0.011065299999998501,0.04331249999999898
67,0.010888500000000079,0.04390539999999987
68,0.013767200000003754,0.04283900000000074
69,0.010258600000000229,0.04366749999999797
70,0.010686900000003163,0.04316659999999928
71,0.010922900000004176,0.03918819999999812
72,0.01010649999999913,0.040622599999998954
73,0.041071999999999775,0.11091340000000116
74,0.014157300000000816,0.05531450000000149
75,0.013484800000000519,0.04620159999999629
76,0.010736000000001411,0.041750200000002735
77,0.008893299999996884,0.04375199999999779
78,0.03807129999999859,0.07854929999999882
79,0.018153000000005193,0.0476553000000024
80,0.015623099999999113,0.046801600000002
81,0.013485199999998088,0.04821619999999882
82,0.013870599999997069,0.049116000000005045
83,0.013891499999999724,0.04683169999999848
84,0.012848099999999363,0.04843799999999732
85,0.011586100000002375,0.04364999999999952
86,0.012406200000000922,0.04361130000000202
87,0.012006100000000686,0.04215380000000124
88,0.011558800000003089,0.04450909999999908
89,0.010708999999998525,0.04061490000000134
90,0.011496800000003304,0.045368000000003406
91,0.011217700000003106,0.045576500000002795
92,0.012312800000003676,0.04531120000000044
93,0.011105000000000587,0.0423054000000036
94,0.011150199999995891,0.04124000000000194
95,0.01149949999999933,0.04048809999999747
96,0.012074100000006638,0.04386629999999769
97,0.0119599000000008,0.04082209999999975
98,0.012657400000001928,0.044857600000000275
99,0.012589099999999576,0.040420599999997364
100,0.010708899999997357,0.04131149999999906
101,0.011298599999996384,0.043258199999996805
102,0.012091499999996813,0.042491300000001786
103,0.011943700000003332,0.04391329999999982
104,0.01149809999999718,0.04452460000000258
105,0.011846200000000806,0.043530999999994435
106,0.012960499999998376,0.04412999999999556
107,0.012250299999998049,0.048239499999993996
108,0.011999400000000549,0.04615629999999982
109,0.01116850000000369,0.041128600000000404
110,0.010908199999995816,0.04344559999999831
111,0.0118583000000001,0.04298610000000025
112,0.010516399999993098,0.042416699999996865
113,0.010250200000001541,0.04034279999999768
114,0.011506199999999467,0.04302969999999817
115,0.01477390000000156,0.043658099999994704
116,0.012453699999994683,0.04545840000000112
117,0.011122000000000298,0.044641200000000936
118,0.012517799999997692,0.04434619999999967
119,0.01410539999999827,0.08334230000000531
120,0.02049639999999897,0.08776699999999948
121,0.02422650000000459,0.052723499999999035
122,0.01294889999999782,0.07951949999999641
123,0.021363300000004415,0.07766670000000175
124,0.023720199999999636,0.08085890000000262
125,0.02273890000000023,0.08339480000000066
126,0.01465450000000601,0.07825490000000457
127,0.015606800000000476,0.07418440000000004
128,0.014904800000003604,0.08191829999999811
129,0.02277790000000124,0.08856579999999781
130,0.018411800000002643,0.08623449999999622
131,0.017353700000001027,0.07461949999999717
132,0.013387399999999161,0.04827579999999898
133,0.012129099999995674,0.044803199999996934
134,0.013339099999996051,0.04447410000000218
135,0.01388789999999318,0.0665268999999995
136,0.018931699999996,0.051852000000003784
137,0.01715220000000528,0.04715490000000244
138,0.012595699999998544,0.05291769999999474
139,0.012285699999999622,0.05890260000000325
140,0.012569099999993227,0.054098600000003216
141,0.012550300000000902,0.04971280000000178
142,0.01372299999999882,0.048186199999996404
143,0.01789190000000218,0.05634640000000246
144,0.013644299999995724,0.04681850000000054
145,0.01310370000000205,0.0478554000000031
146,0.011310200000004045,0.05322860000000418
147,0.015547699999999054,0.05149269999999717
148,0.014113600000001725,0.044861099999998544
149,0.015050000000002228,0.05541680000000326
150,0.012251800000001367,0.04323209999999733
151,0.012533200000000022,0.05689559999999716
152,0.01798760000000499,0.07064379999999915
153,0.021378499999997302,0.09321510000000188
154,0.01543709999999976,0.04982530000000196
155,0.013485899999999162,0.05291509999999988
156,0.011261300000001029,0.054443500000004974
157,0.011773599999997941,0.0459456999999972
158,0.012863799999998093,0.044135599999997055
159,0.012106699999996806,0.059282999999993535
160,0.015158400000004235,0.04325990000000246
161,0.010063099999996439,0.05349220000000088
162,0.015252099999997881,0.07579119999999762
163,0.020028999999993857,0.08661530000000539
164,0.019538799999999412,0.07100520000000188
165,0.021136499999997227,0.06913689999999661
166,0.020347599999993804,0.06654029999999977
167,0.014779299999993611,0.07438199999999995
168,0.015073999999998478,0.080333600000003
169,0.02376470000000097,0.08066399999999874
170,0.023392499999999927,0.078993600000004
171,0.022951399999996625,0.06858850000000416
172,0.020762200000000064,0.07609839999999934
173,0.023310000000002162,0.07767570000000035
174,0.021808599999999956,0.0760837000000052
175,0.012584100000005094,0.06360910000000075
176,0.019530899999999463,0.07203499999999963
177,0.021171599999995294,0.09696290000000118
178,0.0176244999999966,0.07368369999999658
179,0.020329599999996617,0.06449469999999735
180,0.021792800000000057,0.06321080000000023
181,0.011778399999997191,0.05439280000000224
182,0.019234099999998477,0.06862950000000012
183,0.02183300000000088,0.06661160000000166
184,0.021411400000005187,0.07667649999999782
185,0.02185959999999909,0.07094839999999891
186,0.02077950000000328,0.08573450000000093
187,0.02415359999999822,0.06813950000000091
188,0.022192799999999124,0.07917109999999639
189,0.028231800000000362,0.08095399999999842
190,0.023055700000000456,0.08494199999999807
191,0.027351000000003012,0.0781320999999977
192,0.018858500000000333,0.07707929999999408
193,0.014594999999999914,0.07175500000000312
194,0.013713199999997983,0.06859109999999902
195,0.021340399999999704,0.07366400000000084
196,0.020037899999998388,0.059793200000001434
197,0.022805499999996925,0.07338620000000162
198,0.019704699999998354,0.07412140000000278
199,0.021971899999996936,0.07534030000000058
200,0.02114490000000302,0.07148719999999997
