Thread Frame #,Time spent in reading the frame (seconds) from web camera
1,0.02982530000000594
2,0.05335869999999687
3,0.015032499999996674
4,0.051331900000000985
5,0.06164499999999862
6,0.09508329999999887
7,0.0153422000000063
8,0.07050459999999958
9,0.018806699999998955
10,0.06338919999999604
11,0.06163339999999806
12,0.07133029999999962
13,0.03891670000000147
14,0.05619519999999767
15,0.0400400999999988
16,0.07886899999999741
17,0.015082100000000764
18,0.03976199999999608
19,0.07163990000000098
20,0.048292299999999955
21,0.030045400000005884
22,0.07461430000000036
23,0.0718102000000016
24,0.038232300000004216
25,0.07535389999999609
26,0.1191513999999998
27,0.13549929999999932
28,0.015818500000001734
29,0.08116199999999907
30,0.05259370000000274
31,0.05580779999999663
32,0.07406639999999953
33,0.05502740000000017
34,0.05675170000000662
35,0.05983129999999903
36,0.05596530000000399
37,0.09637470000000548
38,0.030347100000000182
39,0.03627159999999918
40,0.02212910000000079
41,0.047377300000000844
42,0.057844299999999294
43,0.04825890000000044
44,0.05077779999999876
45,0.015801299999999685
46,0.06516600000000494
47,0.10387570000000323
48,0.04054740000000123
49,0.046264600000000655
50,0.04289339999999697
51,0.06138830000000439
52,0.07837729999999965
53,0.06317680000000081
54,0.042419799999997565
55,0.046781500000001586
56,0.03863910000000459
57,0.06996219999999909
58,0.05933250000000356
59,0.06163469999999904
60,0.05684020000000345
61,0.11952219999999869
62,0.02024420000000049
63,0.01586669999999657
64,0.02287809999999979
65,0.06514280000000383
66,0.051186000000001286
67,0.049053600000000586
68,0.03792389999999557
69,0.04633710000000235
70,0.05076760000000036
71,0.06615659999999934
72,0.07464929999999725
73,0.038506800000000396
74,0.06379590000000235
75,0.013533999999999935
76,0.0570549999999983
77,0.07617619999999903
78,0.07776619999999923
79,0.020629900000002976
80,0.08023860000000127
81,0.07034979999999535
82,0.06635889999999733
83,0.26397790000000043
84,0.018475899999998546
85,0.044133500000000936
86,0.015934799999996585
87,0.012597300000003031
88,0.019738000000003808
89,0.017381000000000313
90,0.02653229999999951
91,0.03425359999999955
92,0.0179188000000039
93,0.06736229999999921
94,0.06587009999999793
95,0.015233700000003125
96,0.06110650000000106
97,0.07054240000000078
98,0.037581099999997036
99,0.07147090000000134
100,0.029486599999998475
101,0.06059170000000336
102,0.07495970000000085
103,0.05866629999999873
104,0.050914900000002206
105,0.050200799999998935
106,0.02589449999999971
107,0.08602589999999566
108,0.34545539999999875
109,0.01376300000000441
110,0.021885900000000902
111,0.03432300000000055
112,0.014007199999994668
113,0.01765749999999855
114,0.040029900000000396
115,0.0447112999999959
116,0.05411490000000185
117,0.05057779999999923
118,0.05472149999999942
119,0.036371799999997734
120,0.03778810000000021
121,0.04093059999999582
122,0.07906359999999779
123,0.037672199999995826
124,0.07586880000000207
