Thread Frame #,Time spent in reading the frame from ip camera (seconds),Time spent performing inference on the frame (seconds)
1,0.02704270000000264,0.06329320000000394
2,0.020175899999998137,0.04947380000000123
3,0.011865100000001405,0.04811159999999859
4,0.01340049999999593,0.0510314000000065
5,0.012401499999995735,0.05244979999999799
6,0.011886099999998123,0.05080770000000001
7,0.018546999999998093,0.05793549999999925
8,0.012850499999998988,0.0515899000000033
9,0.01459220000000272,0.05269829999999587
10,0.01319480000000084,0.0445202000000009
11,0.010567600000001676,0.04804089999999661
12,0.00988879999999881,0.04809690000000444
13,0.011544600000000571,0.048980000000000246
14,0.01222110000000498,0.05645799999999923
15,0.014676500000000203,0.0592443999999972
16,0.014124000000002468,0.04393240000000276
17,0.012138200000002541,0.05070440000000076
18,0.012448899999995433,0.05179910000000376
19,0.012142300000000716,0.05110030000000165
20,0.01706620000000214,0.04951349999999621
21,0.011613400000001661,0.049095099999995284
22,0.011427500000003477,0.05214329999999734
23,0.012549300000003427,0.048273399999999356
24,0.011580299999998545,0.04804659999999927
25,0.013911200000002566,0.055174000000000945
26,0.013704799999999295,0.04484140000000281
27,0.012104799999995919,0.044705200000002776
28,0.018142399999995007,0.047742100000000676
29,0.017919200000001467,0.04552020000000567
30,0.010889200000001154,0.04828520000000225
31,0.011615400000003717,0.0444448999999949
32,0.010782100000000128,0.05040389999999917
33,0.010947899999997901,0.04978869999999347
34,0.02258210000000105,0.04491159999999894
35,0.01027700000000209,0.04757249999999402
36,0.012053999999999121,0.04295340000000181
37,0.011147499999999866,0.043262300000002085
38,0.016077199999998015,0.04339870000000445
39,0.010149800000000653,0.04567329999999714
40,0.011449700000000007,0.04093079999999816
41,0.010765599999999154,0.044382699999999886
42,0.014440600000000359,0.043591700000000344
43,0.014163799999998616,0.04155319999999563
44,0.01242719999999764,0.04220109999999977
45,0.010759099999994248,0.043267799999995304
46,0.010610100000000955,0.04638469999999728
47,0.011559900000001733,0.04536290000000065
48,0.016154000000000224,0.044248299999999574
49,0.01052169999999819,0.04604319999999973
50,0.015302599999998279,0.04352190000000178
51,0.011768599999996354,0.0441268000000008
52,0.011634100000001979,0.04432530000000412
53,0.010953499999999394,1.0413898000000046
54,0.04673760000000016,0.09364109999999926
55,0.012145599999996648,0.22801749999999998
56,0.01505669999999526,0.04291650000000402
