Thread Frame #,Time spent in reading the frame (seconds) from queue,Time spent performing inference on the frame (seconds)
1,9.35999999995829e-05,0.7427634000000012
2,5.5499999998431804e-05,0.18702980000000125
3,3.0999999999892225e-05,0.1718826
4,3.3099999999564034e-05,0.16702060000000074
5,3.0399999999985994e-05,0.19257999999999953
6,3.329999999834854e-05,0.38603299999999763
7,3.5900000000310683e-05,0.2019365999999998
8,3.759999999886077e-05,0.18433450000000207
9,4.780000000081941e-05,0.17500259999999912
10,4.299999999801685e-05,0.1873295000000006
11,4.730000000208179e-05,0.19475519999999946
12,3.530000000040445e-05,0.1851914999999984
13,3.179999999858296e-05,0.17137669999999972
14,4.080000000072914e-05,0.1808400999999975
15,3.3699999999470265e-05,0.1727464000000012
16,4.099999999951365e-05,0.16071559999999963
17,3.269999999844231e-05,0.1726376000000016
18,2.6200000000642376e-05,0.160548900000002
19,8.440000000220493e-05,0.18260450000000006
20,3.2999999998395424e-05,0.16328419999999966
21,3.1200000002229444e-05,0.16482059999999876
22,3.310000000311675e-05,0.1699733999999964
23,3.1400000004566664e-05,0.1767234000000002
24,3.23000000008733e-05,0.1617545000000007
25,3.0799999997555005e-05,0.1639515999999972
26,2.5700000001904755e-05,0.16014659999999736
27,8.130000000505788e-05,0.18684590000000156
28,3.0099999996480165e-05,0.16515279999999422
29,3.300000000194814e-05,0.16482579999999558
30,3.129999999629263e-05,0.16976000000000369
31,3.370000000302298e-05,0.17959379999999925
32,0.00010969999999588254,0.1915266000000031
33,2.5600000000736145e-05,0.16723919999999737
34,7.120000000071514e-05,0.17763019999999585
35,3.42000000017606e-05,0.16989050000000105
36,3.030000000592281e-05,0.1662154000000058
37,2.6300000001810986e-05,0.16726040000000353
38,3.969999999497986e-05,0.1627367000000035
39,3.320000000428536e-05,0.17326659999999805
40,3.1599999999798456e-05,0.1687811000000039
41,3.799999999642978e-05,0.17026659999999794
42,3.290000000077953e-05,0.17416620000000194
43,3.329999999834854e-05,0.16454370000000296
44,3.550000000274167e-05,0.1694507999999999
45,8.95000000014079e-05,0.19270480000000134
46,3.360000000185437e-05,0.16626929999999618
47,0.00012830000000008113,0.19085259999999948
48,3.389999999825477e-05,0.16816049999999905
49,9.310000000084528e-05,0.1782369000000017
50,3.209999999853608e-05,0.16215820000000036
51,8.7899999996921e-05,0.18280210000000352
52,8.940000000023929e-05,0.1792246999999989
53,7.62000000023022e-05,0.18299039999999422
54,3.380000000419159e-05,0.17058769999999868
55,5.9800000002496745e-05,0.16394239999999627
56,4.57000000011476e-05,0.1642378000000022
57,3.1800000002135675e-05,0.16633359999999442
58,3.439999999699239e-05,0.17375520000000222
59,3.369999999591755e-05,0.17718610000000012
60,2.83000000038669e-05,0.1711150999999944
61,3.23000000008733e-05,0.19080089999999927
62,3.209999999853608e-05,0.19202889999999684
63,3.320000000428536e-05,0.18752219999999653
64,3.399999999942338e-05,0.178508199999996
65,2.930000000134214e-05,0.1792427000000032
66,3.6500000000216914e-05,0.19911059999999736
67,4.369999999909169e-05,0.20170120000000225
68,3.300000000194814e-05,0.1827715000000012
69,3.7400000003628975e-05,0.1818746999999945
70,3.470000000049822e-05,0.18480329999999867
71,3.369999999591755e-05,0.17854220000000254
72,2.9099999999004922e-05,0.16821459999999888
73,3.229999999376787e-05,0.17288279999999645
74,7.740000000211467e-05,0.18384240000000318
75,3.850000000227283e-05,0.1840845999999985
76,3.329999999834854e-05,0.17156239999999912
77,3.279999999961092e-05,0.16672630000000055
78,7.409999999907768e-05,0.18856010000000367
79,3.329999999834854e-05,0.17084520000000225
80,3.300000000194814e-05,0.18439350000000587
81,8.92000000050075e-05,0.19315950000000015
82,3.410000000059199e-05,0.16766769999999553
83,3.540000000157306e-05,0.1685996000000003
84,8.820000000042683e-05,0.19120499999999652
85,3.499999999689862e-05,0.18707150000000183
86,8.919999999790207e-05,0.18292010000000403
87,3.430000000292921e-05,0.1746780000000001
88,3.23000000008733e-05,0.16500320000000102
89,3.0799999997555005e-05,0.18390869999999637
90,4.090000000189775e-05,0.17182489999999717
91,3.5900000000310683e-05,0.1712755999999942
92,7.700000000454565e-05,0.19347270000000094
93,8.309999999767115e-05,0.181160399999996
94,3.480000000166683e-05,0.1663736
95,3.5799999999142074e-05,0.16990989999999329
96,8.630000000664495e-05,0.43300330000000287
97,4.0999999995960934e-05,0.1680825999999982
98,9.990000000215105e-05,0.18918920000000128
99,4.069999999956053e-05,0.169865300000005
100,4.080000000072914e-05,0.17597939999999568
101,4.059999999839192e-05,0.18980700000000184
102,3.8199999998767e-05,0.1693582000000049
103,3.920000000334767e-05,0.20729639999999705
104,4.349999999675447e-05,0.2019955999999965
105,3.949999999974807e-05,0.2033253999999971
106,4.080000000072914e-05,0.21273000000000053
107,4.030000000199152e-05,0.1941260999999983
108,8.090000000038344e-05,0.18956080000000242
109,3.989999999731708e-05,0.19380070000000416
110,6.139999999987822e-05,0.2078907000000001
111,5.4300000002172055e-05,0.17467549999999932
112,0.00010729999999625761,0.2200236999999987
113,3.6999999998954536e-05,0.21486730000000165
114,4.73000000056345e-05,0.1770982000000032
115,3.749999999769216e-05,0.19045069999999953
116,3.8100000004703816e-05,0.18923199999999696
117,3.889999999984184e-05,0.19197630000000032
118,3.6399999999048305e-05,0.18678389999999467
119,3.8100000004703816e-05,0.1762773000000024
120,3.2000000004472895e-05,0.190003499999996
121,4.1199999998298154e-05,0.17447779999999824
122,3.4799999994561404e-05,0.1698061000000024
123,2.940000000251075e-05,0.1646550999999974
124,3.379999999708616e-05,0.18769990000000547
125,2.4299999999755073e-05,0.16923129999999986
126,5.020000000399705e-05,0.1697636999999972
127,3.370000000302298e-05,0.1644391999999968
128,3.949999999974807e-05,0.16993099999999828
129,3.310000000311675e-05,0.17237759999999724
130,3.519999999923584e-05,0.1712709999999973
131,3.389999999825477e-05,0.17478050000000422
132,3.7200000001291755e-05,0.18114249999999998
133,2.7800000005129277e-05,0.17478109999999702
134,8.739999999818338e-05,0.17872100000000302
135,3.530000000040445e-05,0.1683981999999986
136,8.200000000613272e-05,0.21206139999999607
137,5.5200000005584116e-05,0.1834375000000037
138,3.400000000652881e-05,0.1666275999999982
139,2.7600000002792058e-05,0.1685871999999975
140,7.949999999823376e-05,0.17807789999999812
141,8.849999999682723e-05,0.19565409999999872
142,4.140000000063537e-05,0.17520749999999907
143,4.049999999722331e-05,0.1743345000000005
144,3.5799999999142074e-05,0.1750143999999949
145,4.2100000001710214e-05,0.16637039999999814
146,0.0001181000000016752,0.1726383000000027
147,2.839999999793008e-05,0.17712120000000198
148,3.7900000002366596e-05,0.17163499999999487
149,3.840000000110422e-05,0.17733219999999505
150,3.6199999996711085e-05,0.17012929999999926
151,3.700000000605996e-05,0.17124379999999917
152,7.970000000057098e-05,0.17844400000000604
153,3.1700000000967066e-05,0.16966620000000177
154,4.899999999707916e-05,0.17313150000000377
155,3.6399999999048305e-05,0.1731381999999968
156,4.669999999862284e-05,0.1708124999999967
157,3.669999999544871e-05,0.16583640000000344
158,3.929999999741085e-05,0.17872930000000053
159,3.310000000311675e-05,0.17281590000000335
160,3.509999999806723e-05,0.1764603999999963
161,9.999999999621423e-05,0.18915520000000186
162,4.000000000559112e-05,0.16891880000000015
163,3.6799999996617316e-05,0.1668135000000035
164,4.7799999997266696e-05,0.17445709999999792
165,4.069999999956053e-05,0.17992410000000092
166,3.930000000451628e-05,0.17702930000000094
167,3.6600000001385524e-05,0.20319270000000245
168,3.969999999497986e-05,0.19142330000000385
169,4.0999999995960934e-05,0.1827613000000028
170,4.150000000180398e-05,0.1764501999999979
171,3.429999999582378e-05,0.1930649000000031
172,3.850000000227283e-05,0.1880122999999969
173,3.989999999731708e-05,0.18456549999999794
174,5.190000000254713e-05,0.18253660000000593
175,3.6899999997785926e-05,0.17999999999999972
176,3.0999999999892225e-05,0.1710464000000016
177,0.00010520000000013852,0.197953499999997
178,3.949999999974807e-05,0.17665039999999976
179,4.150000000180398e-05,0.18569240000000065
180,4.2700000001616445e-05,0.17693760000000225
181,3.350000000068576e-05,0.17224149999999838
182,0.00010569999999887614,0.19405910000000404
183,4.020000000082291e-05,0.17415559999999886
184,4.1799999998204385e-05,0.1786336999999989
185,9.90999999999076e-05,0.19019220000000558
186,4.080000000072914e-05,0.17945259999999763
187,3.8199999998767e-05,0.1741062000000042
188,3.949999999974807e-05,0.1673503000000025
189,3.879999999867323e-05,0.1716884999999948
190,4.3400000002691286e-05,0.17253039999999942
191,4.349999999675447e-05,0.1725966999999926
192,3.5799999992036646e-05,0.1755586999999963
193,3.7100000000123146e-05,0.16797800000000507
194,0.0001283999999941443,0.1904547999999977
195,0.00012379999999723168,0.18050180000000182
196,4.170000001124663e-05,0.16643580000000213
197,3.9800000010359327e-05,0.16634279999999535
198,0.00011080000000163182,0.19858960000000536
199,8.689999999944575e-05,0.19976420000000417
200,9.899999999163356e-05,0.1919589999999971
